Datum;Anfang;Ende;Photovoltaik [MWh] Originalauflösungen
14.12.2022;00:00;00:15;0
14.12.2022;00:15;00:30;0
14.12.2022;00:30;00:45;0
14.12.2022;00:45;01:00;0
14.12.2022;01:00;01:15;0
14.12.2022;01:15;01:30;0
14.12.2022;01:30;01:45;0
14.12.2022;01:45;02:00;0
14.12.2022;02:00;02:15;0
14.12.2022;02:15;02:30;0
14.12.2022;02:30;02:45;0
14.12.2022;02:45;03:00;0
14.12.2022;03:00;03:15;0
14.12.2022;03:15;03:30;0
14.12.2022;03:30;03:45;0
14.12.2022;03:45;04:00;0
14.12.2022;04:00;04:15;
14.12.2022;04:15;04:30;0
14.12.2022;04:30;04:45;0
14.12.2022;04:45;05:00;0
14.12.2022;05:00;05:15;0
14.12.2022;05:15;05:30;0
14.12.2022;05:30;05:45;0
14.12.2022;05:45;06:00;0
14.12.2022;06:00;06:15;0
14.12.2022;06:15;06:30;0
14.12.2022;06:30;06:45;0
14.12.2022;06:45;07:00;0
14.12.2022;07:00;07:15;0
14.12.2022;07:15;07:30;0
14.12.2022;07:30;07:45;0
14.12.2024;07:45;08:00;0
14.12.2022;08:00;08:15;3,5
14.12.2022;08:15;08:30;13,25
14.12.2022;08:30;08:45;41
14.12.2022;08:45;09:00;90,25
14.12.2022;09:00;09:15;145
14.12.2022;09:15;09:30;201,5
14.12.2022;09:30;09:45;261,75
14.12.2022;09:45;10:00;333,5
14.12.2022;10:00;10:15;412,75
14.12.2022;10:15;10:30;495
14.12.2022;10:30;10:45;581,75
14.12.2022;10:45;11:00;658,75
14.12.2022;11:00;11:15;722,25
14.12.2022;11:15;11:30;782
14.12.2022;11:30;11:45;831,5
14.12.2022;11:45;12:00;870
14.12.2022;12:00;12:15;
14.12.2022;12:15;12:30;876,75
14.12.2022;12:30;12:45;876,5
14.12.2022;12:45;13:00;868,75
14.12.2022;13:00;13:15;Peter
14.12.2022;13:15;13:30;819,25
14.12.2022;13:30;13:45;771,25
14.12.2022;13:45;14:00;696
14.12.2022;14:00;14:15;618
14.12.2022;14:15;14:30;527,75
14.12.2022;14:30;14:45;432
14.12.2022;14:45;15:00;336
14.12.2022;15:00;15:15;242,75
14.12.2022;15:15;15:30;155,75
14.12.2022;15:30;15:45;81,5
14.12.2022;15:45;16:00;31,75
14.12.2022;16:00;16:15;8,5
14.12.2022;16:15;16:30;1
14.12.2022;16:30;16:45;0,25
14.12.2022;16:45;17:00;0
14.12.2022;17:00;17:15;0
14.12.2022;17:15;17:30;0
14.12.2022;17:30;17:45;0
14.12.2022;17:45;18:00;Hans
14.12.2022;18:00;18:15;0
14.12.2022;18:15;18:30;0
14.12.2022;18:30;18:45;0
14.12.1957;18:45;19:00;0
14.12.2022;19:00;19:15;0
14.12.2022;19:15;19:30;0
14.12.2022;19:30;19:45;0
14.12.2022;19:45;20:00;0
14.12.2022;20:00;20:15;0
14.12.2022;20:15;20:30;0
14.12.2022;20:30;20:45;0
14.12.2022;20:45;21:00;0
14.12.2022;21:00;21:15;0
14.12.2022;21:15;21:30;0
14.12.2022;21:30;21:45;0
14.12.2022;21:45;22:00;0
14.12.2022;22:00;22:15;0
14.12.2022;22:15;22:30;0
14.12.2022;22:30;22:45;0
14.12.2022;22:45;23:00;0
14.12.2022;23:00;23:15;0
14.12.2022;23:15;23:30;0
14.12.2022;23:30;23:45;0
14.12.2022;23:45;00:00;0
15.12.2022;00:00;00:15;0
15.12.2022;00:15;00:30;0
15.12.2022;00:30;00:45;0
15.12.2022;00:45;01:00;0
15.12.2022;01:00;01:15;0
15.12.2022;01:15;01:30;0
15.12.2022;01:30;01:45;0
15.12.2022;01:45;02:00;0
15.12.2022;02:00;02:15;0
15.12.2022;02:15;02:30;0
15.12.2022;02:30;02:45;0
15.12.2022;02:45;03:00;0
15.12.2022;03:00;03:15;0
15.12.2022;03:15;03:30;0
15.12.2022;03:30;03:45;0
15.12.2022;03:45;04:00;0
15.12.2022;04:00;04:15;0
15.12.2022;04:15;04:30;0
15.12.2022;04:30;04:45;0
15.12.2022;04:45;05:00;0
15.12.2022;05:00;05:15;0
15.12.2022;05:15;05:30;0
15.12.2022;05:30;05:45;0
15.12.2022;05:45;06:00;0
15.12.2022;06:00;06:15;0
15.12.2022;06:15;06:30;0
15.12.2022;06:30;06:45;0
15.12.2022;06:45;07:00;0
15.12.2022;07:00;07:15;0
15.12.2022;07:15;07:30;0
15.12.2022;07:30;07:45;0
15.12.2022;07:45;08:00;0,25
15.12.2022;08:00;08:15;3
15.12.2022;08:15;08:30;16,5
15.12.2022;08:30;08:45;54,25
15.12.2022;08:45;09:00;148,25
15.12.2022;09:00;09:15;257,75
15.12.2022;09:15;09:30;361
15.12.2022;09:30;09:45;458,5
15.12.2022;09:45;10:00;539,25
15.12.2022;10:00;10:15;NaN
15.12.2022;10:15;10:30;687,5
15.12.2022;10:30;10:45;780,5
15.12.2022;10:45;11:00;862,75
15.12.2022;11:00;11:15;930,75
15.12.2022;11:15;11:30;1.033,25
15.12.2022;11:30;11:45;1.095
15.12.2022;11:45;12:00;1.157,25
15.12.2022;12:00;12:15;1.196,75
15.12.2022;12:15;12:30;1.191,75
15.12.2022;12:30;12:45;1.209
15.12.2022;12:45;13:00;1.192,25
15.12.2022;13:00;13:15;
15.12.2022;13:15;13:30;1.076,25
15.12.2022;13:30;13:45;1.005,50
15.12.2022;13:45;14:00;902,25
15.12.2022;14:00;14:15;797
15.12.2022;14:15;14:30;690,5
15.12.2022;14:30;14:45;583,5
15.12.2022;14:45;15:00;460
15.12.2022;15:00;15:15;340
15.12.2022;15:15;15:30;219,75
15.12.2022;15:30;15:45;117,25
15.12.2022;15:45;16:00;44,5
15.12.2022;16:00;16:15;10,75
15.12.2022;16:15;16:30;1,25
15.12.2022;16:30;16:45;0
15.12.2022;16:45;17:00;0
15.12.2022;17:00;17:15;0
15.12.2022;17:15;17:30;0
15.12.2022;17:30;17:45;0
15.12.2022;17:45;18:00;0
15.12.2022;18:00;18:15;0
15.12.2022;18:15;18:30;0
15.12.2022;18:30;18:45;0
15.12.2022;18:45;19:00;0
15.12.2022;19:00;19:15;0
15.12.2022;19:15;19:30;0
15.12.2022;19:30;19:45;0
15.12.2022;19:45;20:00;0
15.12.2022;20:00;20:15;0
15.12.2022;20:15;20:30;
15.12.2022;20:30;20:45;0
15.12.2022;20:45;21:00;0
15.12.2022;21:00;21:15;0
15.12.2022;21:15;21:30;0
15.12.2022;21:30;21:45;0
15.12.2022;21:45;22:00;0
15.12.2022;22:00;22:15;0
15.12.2022;22:15;22:30;0
15.12.2022;22:30;22:45;0
15.12.2022;22:45;23:00;0
15.12.2022;23:00;23:15;0
15.12.2022;23:15;23:30;0
15.12.2022;23:30;23:45;0
15.12.2022;23:45;00:00;0
16.12.2022;00:00;00:15;0
16.12.2022;00:15;00:30;0
16.12.2022;00:30;00:45;0
16.12.2022;00:45;01:00;0
16.12.2022;01:00;01:15;0
16.12.2022;01:15;01:30;0
16.12.2022;01:30;01:45;0
16.12.2022;01:45;02:00;
16.12.2022;02:00;02:15;0
16.12.2022;02:15;02:30;0
16.12.2022;02:30;02:45;0
16.12.2022;02:45;03:00;0
16.12.2022;03:00;03:15;0
16.12.2022;03:15;03:30;0
16.12.2022;03:30;03:45;0
16.12.2022;03:45;04:00;
16.12.2022;04:00;04:15;0
16.12.2022;04:15;04:30;0
16.12.2022;04:30;04:45;0
16.12.2022;04:45;05:00;0
16.12.2022;05:00;05:15;0
16.12.2022;05:15;05:30;0
16.12.2022;05:30;05:45;0
16.12.2022;05:45;06:00;0
16.12.2022;06:00;06:15;0
16.12.2022;06:15;06:30;0
16.12.2022;06:30;06:45;0
16.12.2022;06:45;07:00;0
16.12.2022;07:00;07:15;0
16.12.2022;07:15;07:30;0
16.12.2022;07:30;07:45;0
16.12.2022;07:45;08:00;0
16.12.2022;08:00;08:15;2,75
16.12.2022;08:15;08:30;11,5
16.12.2022;08:30;08:45;31,25
16.12.2022;08:45;09:00;86,5
16.12.2022;09:00;09:15;NaN
16.12.2022;09:15;09:30;255,5
16.12.2022;09:30;09:45;336,75
16.12.2022;09:45;10:00;415,75
16.12.2022;10:00;10:15;486,5
16.12.2022;10:15;10:30;559,5
16.12.2022;10:30;10:45;647,75
16.12.2022;10:45;11:00;734,5
16.12.2022;11:00;11:15;805,5
16.12.2022;11:15;11:30;867
16.12.2022;11:30;11:45;942,25
16.12.2022;11:45;12:00;967,25
16.12.2022;12:00;12:15;996,5
16.12.2022;12:15;12:30;994,5
16.12.2022;12:30;12:45;1.007,25
16.12.2022;12:45;13:00;989,25
16.12.2022;13:00;13:15;973
16.12.2022;13:15;13:30;918,5
16.12.2022;13:30;13:45;852
16.12.2022;13:45;14:00;770,25
16.12.2022;14:00;14:15;683
16.12.2022;14:15;14:30;
16.12.2022;14:30;14:45;495
16.12.2022;14:45;15:00;390
16.12.2022;15:00;15:15;290,25
16.12.2022;15:15;15:30;194,5
16.12.2022;15:30;15:45;115,5
16.12.2022;15:45;16:00;50,5
16.12.2022;16:00;16:15;16
16.12.2022;16:15;16:30;2,5
16.12.2022;16:30;16:45;0,5
16.12.2022;16:45;17:00;0
16.12.2022;17:00;17:15;0
16.12.2022;17:15;17:30;0
16.12.2022;17:30;17:45;0
16.12.2022;17:45;18:00;0
16.12.2022;18:00;18:15;0
16.12.2022;18:15;18:30;0
16.12.2022;18:30;18:45;
16.12.2022;18:45;19:00;0
16.12.2022;19:00;19:15;0
16.12.2022;19:15;19:30;0
16.12.2022;19:30;19:45;0
16.12.2022;19:45;20:00;0
16.12.2022;20:00;20:15;0
16.12.2022;20:15;20:30;0
16.12.2022;20:30;20:45;0
16.12.2022;20:45;21:00;0
16.12.2022;21:00;21:15;0
16.12.2022;21:15;21:30;0
